"GCAM_region_ID","year","capital_1975USD","region"
1,1961,121300281259.659,"USA"
1,1962,122032431371.479,"USA"
1,1963,122628871415.844,"USA"
1,1964,122985538000.691,"USA"
1,1965,122860376825.033,"USA"
1,1966,122389668166.694,"USA"
1,1967,122460659357.443,"USA"
1,1968,121897861724.759,"USA"
1,1969,120707832687.867,"USA"
1,1970,118720934662.448,"USA"
1,1971,118725781450.572,"USA"
1,1972,117474169693.994,"USA"
1,1973,116042656566.483,"USA"
1,1974,115721343024.419,"USA"
1,1975,115179072964.963,"USA"
1,1976,116495118493.064,"USA"
1,1977,118646237104.311,"USA"
1,1978,120540761050.201,"USA"
1,1979,120415314769.359,"USA"
1,1980,120753449517.264,"USA"
1,1981,120503412271.132,"USA"
1,1982,119594496945.399,"USA"
1,1983,118759994072.619,"USA"
1,1984,115969384534.264,"USA"
1,1985,115654628411.426,"USA"
1,1986,115697679294.169,"USA"
1,1987,115683424034.982,"USA"
1,1988,115416280477.827,"USA"
1,1989,113760389570.719,"USA"
1,1990,112405569737.632,"USA"
1,1991,111494658675.612,"USA"
1,1992,110459726858.67,"USA"
1,1993,109555943426.244,"USA"
1,1994,108433484317.897,"USA"
1,1995,107150796096.293,"USA"
1,1996,109622087828.87,"USA"
1,1997,112852044455.354,"USA"
1,1998,117157988045.237,"USA"
1,1999,118939895443.554,"USA"
1,2000,120216596456.299,"USA"
1,2001,122358591701.667,"USA"
1,2002,124956185030.637,"USA"
1,2003,128308166675.758,"USA"
1,2004,134650046382.661,"USA"
1,2005,139332328815.069,"USA"
1,2006,142435983845.161,"USA"
1,2007,144326801423.662,"USA"
1,2008,148266099747.268,"USA"
1,2009,145611485381.552,"USA"
1,2010,149340090974.381,"USA"
1,2011,153465848088.147,"USA"
1,2012,159699958035.601,"USA"
1,2013,169937514972.999,"USA"
1,2014,179885690148.912,"USA"
1,2015,182910656148.294,"USA"
1,2016,187848392825.324,"USA"
1,2017,190440284050.619,"USA"
1,2018,194875950499.1,"USA"
1,2019,200848618993.073,"USA"
2,1961,1505070264.91391,"Africa_Eastern"
2,1962,1536146729.94054,"Africa_Eastern"
2,1963,1538712676.59412,"Africa_Eastern"
2,1964,1590601820.03309,"Africa_Eastern"
2,1965,1627380388.73434,"Africa_Eastern"
2,1966,1713482154.22099,"Africa_Eastern"
2,1967,1770503190.96711,"Africa_Eastern"
2,1968,1774209558.35561,"Africa_Eastern"
2,1969,1819256177.38504,"Africa_Eastern"
2,1970,1881409107.43832,"Africa_Eastern"
2,1971,1871715531.19148,"Africa_Eastern"
2,1972,1922464253.89553,"Africa_Eastern"
2,1973,1954396034.47335,"Africa_Eastern"
2,1974,1970076819.57854,"Africa_Eastern"
2,1975,2009706440.11709,"Africa_Eastern"
2,1976,2010561755.66828,"Africa_Eastern"
2,1977,2055038164.33026,"Africa_Eastern"
2,1978,2209280068.72852,"Africa_Eastern"
2,1979,2283692521.68221,"Africa_Eastern"
2,1980,2190178021.41857,"Africa_Eastern"
2,1981,2170220658.55743,"Africa_Eastern"
2,1982,2257747949.96273,"Africa_Eastern"
2,1983,2356109238.34979,"Africa_Eastern"
2,1984,2399160121.09311,"Africa_Eastern"
2,1985,2399445226.27684,"Africa_Eastern"
2,1986,2445062055.67374,"Africa_Eastern"
2,1987,2347841188.0216,"Africa_Eastern"
2,1988,2454185421.55312,"Africa_Eastern"
2,1989,2521755350.09727,"Africa_Eastern"
2,1990,2578206176.47594,"Africa_Eastern"
2,1991,2538291450.75365,"Africa_Eastern"
2,1992,2530023400.42546,"Africa_Eastern"
2,1993,3906226122.29313,"Africa_Eastern"
2,1994,3904515491.19075,"Africa_Eastern"
2,1995,3894821914.94391,"Africa_Eastern"
2,1996,3922762222.94951,"Africa_Eastern"
2,1997,3955834424.26226,"Africa_Eastern"
2,1998,3995178939.61708,"Africa_Eastern"
2,1999,4036234086.07429,"Africa_Eastern"
2,2000,4073012654.77554,"Africa_Eastern"
2,2001,4116633747.88633,"Africa_Eastern"
2,2002,4131744322.62405,"Africa_Eastern"
2,2003,4154552737.3225,"Africa_Eastern"
2,2004,4213569510.35473,"Africa_Eastern"
2,2005,4310790378.00687,"Africa_Eastern"
2,2006,4439372815.86938,"Africa_Eastern"
2,2007,4560827624.13862,"Africa_Eastern"
2,2008,4731890734.37699,"Africa_Eastern"
2,2009,4997893870.79765,"Africa_Eastern"
2,2010,5288416053.01915,"Africa_Eastern"
2,2011,5659623002.2364,"Africa_Eastern"
2,2012,9003051491.84531,"Africa_Eastern"
2,2013,9915102974.59954,"Africa_Eastern"
2,2014,10797788623.4295,"Africa_Eastern"
2,2015,11234284659.7211,"Africa_Eastern"
2,2016,12372424553.1737,"Africa_Eastern"
2,2017,13172999909.0893,"Africa_Eastern"
2,2018,14386407571.0467,"Africa_Eastern"
2,2019,14965741304.3874,"Africa_Eastern"
3,1961,5847222213.13115,"Africa_Northern"
3,1962,5664184685.17609,"Africa_Northern"
3,1963,5518495936.28975,"Africa_Northern"
3,1964,5800464962.99933,"Africa_Northern"
3,1965,6104672194.03989,"Africa_Northern"
3,1966,6330190394.37081,"Africa_Northern"
3,1967,6718503654.6119,"Africa_Northern"
3,1968,6898119920.36219,"Africa_Northern"
3,1969,7130480645.10264,"Africa_Northern"
3,1970,7207744149.89363,"Africa_Northern"
3,1971,7312662857.5065,"Africa_Northern"
3,1972,7460347342.67896,"Africa_Northern"
3,1973,7742031264.2048,"Africa_Northern"
3,1974,7953864415.71665,"Africa_Northern"
3,1975,8481594110.80201,"Africa_Northern"
3,1976,8605899970.90856,"Africa_Northern"
3,1977,8577674557.71923,"Africa_Northern"
3,1978,8919515673.01224,"Africa_Northern"
3,1979,9420730586.01065,"Africa_Northern"
3,1980,9673048673.61225,"Africa_Northern"
3,1981,9811039582.53786,"Africa_Northern"
3,1982,10003770686.7398,"Africa_Northern"
3,1983,10293722658.5938,"Africa_Northern"
3,1984,10480751659.1211,"Africa_Northern"
3,1985,10946898634.5206,"Africa_Northern"
3,1986,11171846624.4841,"Africa_Northern"
3,1987,11559304569.174,"Africa_Northern"
3,1988,11726946417.2076,"Africa_Northern"
3,1989,11905137157.0392,"Africa_Northern"
3,1990,12533223876.7978,"Africa_Northern"
3,1991,12709133775.1595,"Africa_Northern"
3,1992,12702861461.1175,"Africa_Northern"
3,1993,12845984263.3502,"Africa_Northern"
3,1994,12821180112.3657,"Africa_Northern"
3,1995,13224318842.1608,"Africa_Northern"
3,1996,13721827387.7707,"Africa_Northern"
3,1997,14118693803.5237,"Africa_Northern"
3,1998,14582559937.4534,"Africa_Northern"
3,1999,15184416980.3087,"Africa_Northern"
3,2000,15797963335.697,"Africa_Northern"
3,2001,16544368706.7038,"Africa_Northern"
3,2002,17110017391.2253,"Africa_Northern"
3,2003,17673955444.6444,"Africa_Northern"
3,2004,18037464553.901,"Africa_Northern"
3,2005,18327701630.9387,"Africa_Northern"
3,2006,18655857697.4127,"Africa_Northern"
3,2007,18842316487.5725,"Africa_Northern"
3,2008,19169332133.3115,"Africa_Northern"
3,2009,19865844097.1654,"Africa_Northern"
3,2010,20495071237.6589,"Africa_Northern"
3,2011,21013392461.6811,"Africa_Northern"
3,2012,21571913516.6094,"Africa_Northern"
3,2013,22229366070.2922,"Africa_Northern"
3,2014,23101502827.3241,"Africa_Northern"
3,2015,24148979272.3504,"Africa_Northern"
3,2016,25179064301.1691,"Africa_Northern"
3,2017,26233668375.7887,"Africa_Northern"
3,2018,27348999854.5428,"Africa_Northern"
3,2019,28321493636.2479,"Africa_Northern"
4,1961,2859604992.81805,"Africa_Southern"
4,1962,3036655311.91476,"Africa_Southern"
4,1963,3137867652.13913,"Africa_Southern"
4,1964,3242501254.56826,"Africa_Southern"
4,1965,3399309105.6201,"Africa_Southern"
4,1966,3459181194.20353,"Africa_Southern"
4,1967,3779354315.53301,"Africa_Southern"
4,1968,3873153920.98038,"Africa_Southern"
4,1969,4271160757.46832,"Africa_Southern"
4,1970,4568810569.28308,"Africa_Southern"
4,1971,4860473172.2395,"Africa_Southern"
4,1972,4976796087.20159,"Africa_Southern"
4,1973,5069740377.09776,"Africa_Southern"
4,1974,5196612183.85789,"Africa_Southern"
4,1975,5268458690.158,"Africa_Southern"
4,1976,5213433389.69799,"Africa_Southern"
4,1977,5397041128.02051,"Africa_Southern"
4,1978,5367390188.91253,"Africa_Southern"
4,1979,5367675294.09626,"Africa_Southern"
4,1980,5383926289.5689,"Africa_Southern"
4,1981,5412151702.75823,"Africa_Southern"
4,1982,5520776777.7596,"Africa_Southern"
4,1983,5523627829.5969,"Africa_Southern"
4,1984,5538168193.96716,"Africa_Southern"
4,1985,5635389061.6193,"Africa_Southern"
4,1986,5779082074.21953,"Africa_Southern"
4,1987,5755133238.78616,"Africa_Southern"
4,1988,5681576101.38366,"Africa_Southern"
4,1989,5659337897.05267,"Africa_Southern"
4,1990,5848077528.68234,"Africa_Southern"
4,1991,5670171894.03444,"Africa_Southern"
4,1992,5884856097.38359,"Africa_Southern"
4,1993,5312935098.81998,"Africa_Southern"
4,1994,5255914062.07386,"Africa_Southern"
4,1995,5348003036.41884,"Africa_Southern"
4,1996,5452636638.84798,"Africa_Southern"
4,1997,5554704294.62354,"Africa_Southern"
4,1998,5913366615.75665,"Africa_Southern"
4,1999,6095833933.34424,"Africa_Southern"
